County & State,School Year,County Code,State ANSI Code,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Valencia County, NM",21-22,61,35,170,164.0,3.658536585365857,6.0,494.0,53.358561967833495,477.0,54.966887417218544,186.0,-8.602150537634412,-16.0,587.0,45.539033457249076,634.0,41.17100371747212,146.0,16.43835616438356,24.0,227.0,79.52898550724638,198.0,82.15579710144928
"Van Buren County, MI",21-22,159,26,218,194.0,12.371134020618557,24.0,365.0,65.56291390728477,333.0,68.5903500473037,153.0,42.48366013071896,65.0,219.0,79.73977695167285,121.0,88.84758364312268,196.0,11.22448979591837,22.0,235.0,78.80434782608695,228.0,79.43840579710145
"Van Wert County, OH",21-22,161,39,81,87.0,-6.896551724137934,-6.0,618.0,41.62724692526017,706.0,33.30179754020814,85.0,-4.705882352941182,-4.0,502.0,53.438661710037174,562.0,47.86245353159851,78.0,3.8461538461538547,3.0,326.0,70.56159420289855,294.0,73.46014492753623
"Vanderburgh County, IN",21-22,163,18,3056,2830.0,7.9858657243816245,226.0,148.0,86.09271523178808,393.0,62.913907284768214,3559.0,-14.133183478505195,-503.0,955.0,11.338289962825279,723.0,32.899628252788105,4025.0,-24.07453416149068,-969.0,985.0,10.869565217391305,697.0,36.95652173913043
"Venango County, PA",21-22,121,42,161,361.0,-55.4016620498615,-200.0,931.0,12.015137180700094,1040.0,1.7029328287606436,125.0,28.800000000000004,36.0,275.0,74.53531598513011,173.0,84.01486988847584,332.0,-51.50602409638554,-171.0,764.0,30.88768115942029,1010.0,8.605072463768115
"Ventura County, CA",21-22,111,6,2726,8026.0,-66.03538499875405,-5300.0,1057.0,0.0946073793755913,1051.0,0.6622516556291391,7913.0,-65.5503601668141,-5187.0,1075.0,0.18587360594795538,1058.0,1.7657992565055762,3996.0,-31.78178178178178,-1270.0,1007.0,8.876811594202898,805.0,27.173913043478258
"Vermilion County, IL",21-22,183,17,858,421.0,103.80047505938244,437.0,93.0,91.2961210974456,38.0,96.49952696310312,76.0,1028.9473684210525,782.0,30.0,97.30483271375465,1.0,100.0,522.0,64.36781609195404,336.0,35.0,96.92028985507247,55.0,95.1086956521739
"Vermilion Parish, LA",21-22,113,22,490,318.0,54.08805031446542,172.0,175.0,83.53831598864711,103.0,90.35004730368968,359.0,36.49025069637884,131.0,162.0,85.03717472118959,140.0,87.0817843866171,845.0,-42.01183431952663,-355.0,860.0,22.192028985507246,924.0,16.394927536231883
"Vernon County, WI",21-22,123,55,21,22.0,-4.545454545454541,-1.0,570.0,46.16840113528855,659.0,37.74834437086093,32.0,-34.375,-11.0,550.0,48.97769516728624,938.0,12.9182156133829,32.0,-34.375,-11.0,400.0,63.858695652173914,829.0,25.0
"Victoria County, TX",21-22,469,48,1083,1095.0,-1.0958904109588996,-12.0,669.0,36.80227057710501,589.0,44.370860927152314,1028.0,5.350194552529186,55.0,240.0,77.78810408921933,382.0,64.59107806691449,1112.0,-2.607913669064743,-29.0,485.0,56.15942028985508,381.0,65.57971014492753
"Vigo County, IN",21-22,167,18,296,332.0,-10.843373493975905,-36.0,784.0,25.922421948912017,778.0,26.490066225165563,354.0,-16.384180790960457,-58.0,727.0,32.52788104089219,753.0,30.111524163568777,292.0,1.3698630136986356,4.0,316.0,71.46739130434783,322.0,70.92391304347827
"Virginia Beach City, VA",21-22,810,51,2251,2112.0,6.581439393939403,139.0,198.0,81.3623462630085,423.0,60.07568590350048,2270.0,-0.8370044052863457,-19.0,610.0,43.40148698884758,487.0,54.832713754646846,2228.0,1.032315978456011,23.0,231.0,79.16666666666666,329.0,70.28985507246377
"Volusia County, FL",21-22,127,12,1461,1498.0,-2.469959946595457,-37.0,788.0,25.543992431409652,616.0,41.81646168401135,1691.0,-13.601419278533411,-230.0,876.0,18.680297397769515,715.0,33.64312267657992,1449.0,0.8281573498964745,12.0,278.0,74.90942028985508,334.0,69.83695652173914
"Wabash County, IL",21-22,185,17,114,,,,,,,,133.0,-14.28571428571429,-19.0,610.0,43.40148698884758,724.0,32.806691449814124,151.0,-24.50331125827815,-37.0,520.0,52.9891304347826,705.0,36.231884057971016
