County & State,School Year,County Code,State ANSI Code,Enrollment
"Boyd County, KY",19-20,19,21,130
"Boyd County, KY",21-22,19,21,160
"Bracken County, KY",11-12,23,21,92
"Bracken County, KY",13-14,23,21,66
"Bracken County, KY",15-16,23,21,51
"Bracken County, KY",17-18,23,21,42
"Bradford County, PA",11-12,15,42,117
"Bradford County, PA",13-14,15,42,262
"Bradford County, PA",15-16,15,42,230
"Bradford County, PA",19-20,15,42,102
"Bradford County, PA",21-22,15,42,198
"Branch County, MI",11-12,23,26,155
"Branch County, MI",13-14,23,26,206
"Branch County, MI",15-16,23,26,214
"Branch County, MI",17-18,23,26,222
"Branch County, MI",19-20,23,26,268
"Branch County, MI",21-22,23,26,363
"Brazoria County, TX",11-12,39,48,480
"Brazoria County, TX",13-14,39,48,621
"Brazoria County, TX",15-16,39,48,647
"Brazoria County, TX",17-18,39,48,593
"Brazoria County, TX",19-20,39,48,525
"Brazoria County, TX",21-22,39,48,534
"Brazos County, TX",11-12,41,48,384
"Brazos County, TX",13-14,41,48,383
"Brazos County, TX",15-16,41,48,352
"Brazos County, TX",17-18,41,48,755
"Brazos County, TX",19-20,41,48,659
"Brazos County, TX",21-22,41,48,507
"Breckinridge County, KY",11-12,27,21,290
"Breckinridge County, KY",13-14,27,21,257
"Breckinridge County, KY",15-16,27,21,230
"Breckinridge County, KY",17-18,27,21,237
"Breckinridge County, KY",19-20,27,21,250
"Breckinridge County, KY",21-22,27,21,228
"Brevard County, FL",11-12,9,12,2614
"Brevard County, FL",13-14,9,12,2380
"Brevard County, FL",15-16,9,12,2341
"Brevard County, FL",17-18,9,12,2832
"Brevard County, FL",19-20,9,12,1516
"Brevard County, FL",21-22,9,12,1655
"Bristol City, VA",11-12,520,51,156
"Bristol City, VA",13-14,520,51,171
"Bristol City, VA",15-16,520,51,138
"Bristol City, VA",17-18,520,51,154
"Bristol City, VA",19-20,520,51,131
"Bristol City, VA",21-22,520,51,135
"Bristol County, MA",11-12,5,25,5631
"Bristol County, MA",13-14,5,25,6126
"Bristol County, MA",15-16,5,25,3694
"Bristol County, MA",17-18,5,25,4542
"Bristol County, MA",19-20,5,25,4224
"Bristol County, MA",21-22,5,25,4256
"Bristol County, RI",11-12,1,44,454
"Bristol County, RI",13-14,1,44,226
"Bristol County, RI",15-16,1,44,315
"Bristol County, RI",17-18,1,44,556
"Bristol County, RI",19-20,1,44,300
"Bristol County, RI",21-22,1,44,168
"Bronx County, NY",11-12,5,36,21986
"Bronx County, NY",13-14,5,36,20464
"Bronx County, NY",15-16,5,36,17555
"Bronx County, NY",17-18,5,36,17080
"Bronx County, NY",19-20,5,36,14553
"Bronx County, NY",21-22,5,36,13280
"Brookings County, SD",19-20,11,46,95
"Broome County, NY",11-12,7,36,816
"Broome County, NY",13-14,7,36,724
"Broome County, NY",15-16,7,36,980
"Broome County, NY",17-18,7,36,916
"Broome County, NY",19-20,7,36,708
"Broome County, NY",21-22,7,36,527
"Broomfield County, CO",11-12,14,8,1034
"Broomfield County, CO",13-14,14,8,1077
"Broomfield County, CO",15-16,14,8,1079
"Broomfield County, CO",17-18,14,8,1064
"Broomfield County, CO",19-20,14,8,351
"Broomfield County, CO",21-22,14,8,348
"Broward County, FL",11-12,11,12,12653
"Broward County, FL",13-14,11,12,11111
"Broward County, FL",15-16,11,12,11136
