Diocese,School Year,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Grand Island, NE",21-22,1777,1717,1.034944670937682,60,102.0,42.285714285714285,97.0,45.14285714285714,1549,1.1471917366042608,228,47.0,73.71428571428571,24.0,86.85714285714286,1244,1.4284565916398715,533,14.0,92.57142857142857,7.0,96.57142857142857
"Grand Rapids, MI",21-22,6009,4631,1.29755992226301,1378,22.0,88.0,18.0,90.28571428571428,5576,1.0776542324246772,433,31.0,82.85714285714286,40.0,77.71428571428571,6702,0.896598030438675,-693,67.0,62.28571428571429,53.0,70.28571428571428
"Great Falls-Billings, MT",21-22,1918,975,1.9671794871794872,943,38.0,78.85714285714286,2.0,99.42857142857143,1457,1.3164035689773508,461,25.0,86.28571428571429,11.0,94.28571428571428,2572,0.7457231726283048,-654,65.0,63.42857142857142,112.0,36.57142857142857
"Green Bay, WI",21-22,15191,12704,1.195765113350126,2487,7.0,96.57142857142857,34.0,81.14285714285714,11589,1.3108119768746225,3602,1.0,100.0,12.0,93.71428571428572,10639,1.427859761255757,4552,1.0,100.0,8.0,96.0
"Greensburg, PA",21-22,2722,2089,1.3030157970320728,633,52.0,70.85714285714285,14.0,92.57142857142857,2090,1.3023923444976075,632,20.0,89.14285714285714,13.0,93.14285714285714,1877,1.4501864677677145,845,8.0,96.0,6.0,97.14285714285714
"Harrisburg, PA",21-22,6946,8228,0.8441905687894993,-1282,160.0,9.142857142857142,152.0,13.714285714285715,6530,1.0637059724349158,416,33.0,81.71428571428572,44.0,75.42857142857143,11129,0.6241351424207027,-4183,145.0,17.71428571428571,144.0,18.285714285714285
"Hartford, CT",21-22,8343,9146,0.9122020555434069,-803,154.0,12.571428571428573,138.0,21.714285714285715,10327,0.8078822504115426,-1984,142.0,19.428571428571427,133.0,24.571428571428573,15400,0.5417532467532468,-7057,160.0,9.142857142857142,161.0,8.571428571428571
"Helena, MT",21-22,1336,1382,0.9667149059334298,-46,113.0,36.0,123.0,30.28571428571429,1006,1.3280318091451293,330,36.0,80.0,10.0,94.85714285714286,1183,1.129332206255283,153,23.0,87.42857142857143,17.0,90.85714285714286
"Honolulu, HI",21-22,6368,6567,0.9696969696969697,-199,122.0,30.857142857142854,122.0,30.857142857142854,7774,0.8191407254952405,-1406,128.0,27.42857142857143,130.0,26.285714285714285,8633,0.7376346577087919,-2265,113.0,36.0,114.0,35.42857142857142
"Houma-Thibodaux, LA",21-22,3889,3123,1.24527697726545,766,46.0,74.28571428571429,26.0,85.71428571428571,3751,1.036790189282858,138,54.0,69.71428571428572,57.0,68.0,5634,0.6902733404330849,-1745,101.0,42.857142857142854,124.0,29.714285714285715
"Indianapolis, IN",21-22,18689,18697,0.9995721238701396,-8,110.0,37.714285714285715,110.0,37.714285714285715,21757,0.8589879119363882,-3068,159.0,9.714285714285714,114.0,35.42857142857142,22528,0.82958984375,-3839,138.0,21.714285714285715,74.0,58.285714285714285
"Jackson, MS",21-22,2479,2954,0.8392010832769127,-475,143.0,18.857142857142858,155.0,12.0,3331,0.7442209546682678,-852,121.0,31.428571428571427,158.0,10.285714285714285,4205,0.5895362663495838,-1726,100.0,43.42857142857143,151.0,14.285714285714285
"Jefferson City, MO",21-22,6544,5666,1.1549594069890576,878,39.0,78.28571428571428,44.0,75.42857142857143,6484,1.0092535471930908,60,64.0,64.0,67.0,62.28571428571429,7117,0.9194885485457356,-573,59.0,66.85714285714286,45.0,74.85714285714286
"Joliet, IL",21-22,12980,10652,1.2185505069470521,2328,9.0,95.42857142857143,29.0,84.0,15650,0.8293929712460064,-2670,153.0,13.142857142857142,125.0,29.142857142857142,20757,0.6253312135665077,-7777,163.0,7.428571428571429,143.0,18.857142857142858
"Kalamazoo, MI",21-22,2383,2013,1.183805265772479,370,74.0,58.285714285714285,38.0,78.85714285714286,2342,1.0175064047822373,41,66.0,62.857142857142854,64.0,64.0,3659,0.6512708390270566,-1276,86.0,51.42857142857142,136.0,22.857142857142858
"Kansas City, KS",21-22,10863,10406,1.0439169709782818,457,63.0,64.57142857142857,88.0,50.28571428571429,12386,0.877038591958663,-1523,132.0,25.142857142857146,109.0,38.285714285714285,14017,0.7749875151601626,-3154,132.0,25.142857142857146,101.0,42.857142857142854
